Turks and Caicos Islands,75.326
Chad,53.259
East Asia & Pacific (IDA & IBRD countries),76.0366573507797
Europe & Central Asia (IDA & IBRD countries),74.3447743135936
Togo,60.901
Thailand,78.975
Tajikistan,70.867
Turkmenistan,69.002
Latin America & the Caribbean (IDA & IBRD countries),74.9718239600748
Timor-Leste,68.268
Middle East & North Africa (IDA & IBRD countries),73.1193901266412
Tonga,70.871
South Asia (IDA & IBRD),70.4727549740685
Sub-Saharan Africa (IDA & IBRD countries),61.2442873450193
Trinidad and Tobago,74.228
Tunisia,75.993
Turkiye,77.832
Tuvalu,64.278
Tanzania,66.989
Uganda,62.991
Ukraine,71.8273170731707
Upper middle income,76.5435121382698
Uruguay,77.508
United States,78.7878048780488
Uzbekistan,71.344
St. Vincent and the Grenadines,72.835
"Venezuela, RB",72.161
British Virgin Islands,75.863
Virgin Islands (U.S.),79.6682926829268
Vietnam,74.093
Vanuatu,69.877
World,72.9797158843228
Samoa,72.157
Kosovo,79.022
"Yemen, Rep.",65.092
South Africa,66.175
Zambia,62.793
Zimbabwe,61.292
